55,0,1,0,0.04,0.06,0.6667,1.5,1.5,,yes,hcp,no,no,yes,,no,no
56,0.2,0.8,0.25,0.04,0.06,0.6667,1.5,1.5,,no,no,no,no,no,,no,no
57,0.4,0.6,0.6667,0.04,0.06,0.6667,1.5,1.5,,no,no,no,no,no,,no,no
58,0.6,0.4,1.5,0.04,0.06,0.6667,1.5,1.5,,yes,FCC,yes,yes,yes,,0.495540139,2.018
59,0.8,0.2,4,0.04,0.06,0.6667,1.5,1.5,,yes,FCC,yes,yes,yes,,0.475285171,2.104
60,1,0,none,0.04,0.06,0.6667,1.5,1.5,,no,no,no,no,no,,no,no
61,0,1,0,0.04,0.06,0.6667,3,3,,yes,hcp,no,no,yes,,no,no
62,0.2,0.8,0.25,0.04,0.06,0.6667,3,3,,no,no,no,no,no,,no,no
63,0.4,0.6,0.6667,0.04,0.06,0.6667,3,3,,yes,FCC,yes,no,no,,no,no
64,0.8,0.2,4,0.04,0.06,0.6667,3,3,,yes,FCC,yes,yes,yes,,0.442869796,2.258
65,1,0,none,0.04,0.06,0.6667,3,3,,no,no,no,no,no,,no,no
66,0,1,0,0.04,0.06,0.6667,4.5,4.5,,yes,hcp,no,no,yes,,no,no
67,0.2,0.8,0.25,0.04,0.06,0.6667,4.5,4.5,,yes,FCC,yes,no,no,,no,no
68,0.4,0.6,0.6667,0.04,0.06,0.6667,4.5,4.5,,yes,FCC,yes,yes,yes,,0.395882819,2.526
69,0.6,0.4,1.5,0.04,0.06,0.6667,4.5,4.5,,yes,FCC,yes,yes,no,,0.413393964,2.419
70,0.8,0.2,4,0.04,0.06,0.6667,4.5,4.5,,yes,FCC,yes,yes,yes,,0.406504065,2.46
71,1,0,none,0.04,0.06,0.6667,4.5,4.5,,no,no,no,no,no,,no,no
72,0,1,0,0.02,0.08,0.25,1.5,1.5,,yes,hcp/FCC,no,no,yes,,no,no
73,0.2,0.8,0.25,0.02,0.08,0.25,1.5,1.5,,no,no,no,no,no,,no,no
74,0.4,0.6,0.6667,0.02,0.08,0.25,1.5,1.5,,yes,FCC,yes,no,yes,,no,no
75,0.6,0.4,1.5,0.02,0.08,0.25,1.5,1.5,,yes,FCC,yes,yes,yes,,0.388953715,2.571
76,0.8,0.2,4,0.02,0.08,0.25,1.5,1.5,,yes,FCC,yes,yes,yes,,0.504795558,1.981
77,1,0,none,0.02,0.08,0.25,1.5,1.5,,no,no,no,no,no,,no,no
78,0,1,0,0.02,0.08,0.25,3,3,,yes,hcp,no,no,yes,,no,no
79,0.2,0.8,0.25,0.02,0.08,0.25,3,3,,yes,FCC,no,no,yes,,no,no
80,0.4,0.6,0.6667,0.02,0.08,0.25,3,3,,yes,FCC,yes,no,yes,,no,no
81,0.6,0.4,1.5,0.02,0.08,0.25,3,3,,yes,FCC,yes,yes,yes,,0.377358491,2.65
82,0.8,0.2,4,0.02,0.08,0.25,3,3,,yes,FCC,yes,yes,yes,,0.55981638,1.7863
83,1,0,none,0.02,0.08,0.25,3,3,,no,no,no,no,no,,no,no
84,0,1,0,0.02,0.08,0.25,4.5,4.5,,yes,hcp,no,no,yes,,no,no
85,0.2,0.8,0.25,0.02,0.08,0.25,4.5,4.5,,yes,FCC,yes,no,yes ,,no,no
86,0.4,0.6,0.6667,0.02,0.08,0.25,4.5,4.5,,yes,FCC,yes,yes ,no ,,no,no
87,0.6,0.4,1.5,0.02,0.08,0.25,4.5,4.5,,yes,FCC,yes,yes,no ,,0.436681223,2.29
88,0.8,0.2,4,0.02,0.08,0.25,4.5,4.5,,yes,FCC,yes,yes,yes,,0.507614213,1.97
89,1,0,none,0.02,0.08,0.25,4.5,4.5,,no,no,no,no,no ,,no,no
90,0,1,0,0,0.1,0,1.5,1.5,,yes,hcp,no,no,yes ,,no,no
91,0.2,0.8,0.25,0,0.1,0,1.5,1.5,,no,no,no,no,no,,no,no
92,0.4,0.6,0.6667,0,0.1,0,1.5,1.5,,no,no,no,no,no,,no,no
93,0.6,0.4,1.5,0,0.1,0,1.5,1.5,,yes,FCC,yes,yes,yes ,,0.352112676,2.84
94,0.8,0.2,4,0,0.1,0,1.5,1.5,,yes,FCC,yes,yes,yes,,1.024590164,0.976
95,1,0,none,0,0.1,0,1.5,1.5,,no,no,no,no,no,,no,no
96,0,1,0,0,0.1,0,3,3,,yes,hcp,no,no,yes,,no,no
97,0.2,0.8,0.25,0,0.1,0,3,3,,yes,FCC,no,no,yes ,,no,no
98,0.4,0.6,0.6667,0,0.1,0,3,3,,yes,FCC,yes,yes,yes,,0.369139904,2.709
99,0.6,0.4,1.5,0,0.1,0,3,3,,yes,FCC,yes,yes,yes,,0.489236791,2.044
100,0.8,0.2,4,0,0.1,0,3,3,,yes,FCC,yes,yes,yes,,0.574712644,1.74
101,1,0,none,0,0.1,0,3,3,,no,no,no,no,no,,no,no
